1730455184532|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/CalvinRefact|     drop table if exists board cascade |     drop table if exists board cascade 
1730455184534|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/CalvinRefact|     drop table if exists file cascade |     drop table if exists file cascade 
1730455184534|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/CalvinRefact|     drop table if exists member cascade |     drop table if exists member cascade 
1730455184535|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/CalvinRefact|     drop table if exists member_subject cascade |     drop table if exists member_subject cascade 
1730455184536|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/CalvinRefact|     drop table if exists subject cascade |     drop table if exists subject cascade 
1730455184537|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/CalvinRefact|     drop sequence if exists board_seq|     drop sequence if exists board_seq
1730455184537|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/CalvinRefact|     drop sequence if exists file_seq|     drop sequence if exists file_seq
1730455184538|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/CalvinRefact|     drop sequence if exists member_seq|     drop sequence if exists member_seq
1730455184538|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/CalvinRefact|     drop sequence if exists member_subject_seq|     drop sequence if exists member_subject_seq
1730455184539|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/CalvinRefact|     drop sequence if exists subject_seq|     drop sequence if exists subject_seq
1730455184544|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/CalvinRefact|     create sequence board_seq start with 1 increment by 50|     create sequence board_seq start with 1 increment by 50
1730455184545|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/CalvinRefact|     create sequence file_seq start with 1 increment by 50|     create sequence file_seq start with 1 increment by 50
1730455184545|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/CalvinRefact|     create sequence member_seq start with 1 increment by 50|     create sequence member_seq start with 1 increment by 50
1730455184546|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/CalvinRefact|     create sequence member_subject_seq start with 1 increment by 50|     create sequence member_subject_seq start with 1 increment by 50
